sch_nm,region_cd,brigade_cd,rotc_street1_nm,rotc_street2_nm,sch_city_nm,sch_state_cd,rotc_zip_cd,last_nm,first_nm,rank_cd,rotc_phone_nbr_id
PACIFIC LUTHERAN UNIVERSITY,W,13,12013 PARK AVENUE S,,TACOMA,WA,984470003,BOICE,GILLIAN,LTC,2535358459
SEATTLE UNIVERSITY,W,13,DEPARTMENT OF MILITARY SCIENCE,901 12th Ave ARMY ROTC,SEATTLE,WA,981221090,HUDGINS,AUDREY,LTC,2062966430
UNIVERSITY OF WASHINGTON,W,13,ARMY ROTC,104 Clark Hall,SEATTLE,WA,981953820,LEADY,WILLIAM,LTC,2065439010
WASHINGTON STATE UNIVERSITY,W,13,405 AVERY HALL,,PULLMAN,WA,991645040,BAKER,JEFFERY,LTC,5093352591
UNIVERSITY OF ALASKA FAIRBANKS,W,13,PATTY BLDG 410  RM 115,,FAIRBANKS,AK,997757460,CARLSON,CAMERON,LTC,9074747501
MONTANA STATE UNIVERSITY,W,13,GARFIELD AND SEVENTH STREET,Hamilton Hall Room 208,BOZEMAN,MT,597172160,LOLATTE,TIMOTHY,LTC,4069944044
THE UNIV OF MONTANA,W,13,SCHREIBER GYM  ROOM 112,,MISSOULA,MT,598121033,HEDEGAARD,MICHAEL,LTC,4062432769
OREGON STATE UNIVERSITY,W,13,208 MCALEXANDER FIELDHOUSE,,CORVALLIS,OR,973314901,SCIONEAUX,STEVEN,LTC,5417373511
UNIVERSITY OF OREGON,W,13,1679 AGATE ST,,EUGENE,OR,974031297,FOX,WILLIAM,LTC,5413463102
UNIVERSITY OF PORTLAND,W,13,5000 N WILLAMETTE BLVD,ATTN:  ARMY ROTC-VILLA MARIE,PORTLAND,OR,972035798,ROOKS,PETER,LTC,5039437353
UNIVERSITY OF GUAM,W,13,UNIVERSITY STATION,DORM 1,MANGILAO,GU,969230000,OKADA,DAVID,LTC,6717343000
UNIV OF CALIFORNIA-BERKELEY,W,14,173 HEARST GYM  #4440 ARMY ROTC,,BERKELEY,CA,947204440,ROESLER,DEBRA,LTC,5106423374
UNIV OF CALIFORNIA-DAVIS,W,14,ONE SHIELDS AVE,"HICKEY GYM, ROOM 131",DAVIS,CA,956165224,CONNELLY,MARK,LTC,5307525211
UNIV OF CALIFORNIA-LOS ANGE,W,14,"DEPT OF MIL SCI, SAC, Rm 120S", 220 WESTWOOD PLAZA,LOS ANGELES,CA,900951609,BUCK,SHAWN,LTC,3108257381
UNIVERSITY OF NEVADA,W,14,UNIVERSITY OF NEVADA RENO,EDMUND J CAIN HALL MS 268,RENO,NV,895570901,MARYOTT,SCOTT,LTC,7757846751
UNIV OF SAN FRANCISCO,W,14,2130 FULTON STREET,Underhill Building,SAN FRANCISCO,CA,941171080,DONALDSON,SCOTT,LTC,4154226405
SANTA CLARA UNIV,W,14,500 EL CAMINO REAL,,SANTA CLARA,CA,950530631,CORBETT,SHARI,LTC,4085544781
UNIV OF SOUTHERN CALIFORNIA,W,14,"3560 WATT WAY, PED 110",,LOS ANGELES,CA,900890653,GEORGE,RICHARD,LTC,2137404026
ARIZONA STATE UNIVERSITY,W,14,DPT OF MIL SCI  ARIZONA STATE,Soc. Science Bldg Room 330,TEMPE,AZ,852874901,McIntosh,Kirk,LTC,4809653318
NORTHERN ARIZONA UNIVERSITY,W,14,ARMY ROTC,1415 S. SAN FRANCISCO ST,FLAGSTAFF,AZ,860116043,CARLISLE,THOMAS,MAJ,9285238658
UNIVERSITY OF ARIZONA,W,14,"UOFA, Dept of Military Science",SOUTH HALL ROOM 101,TUCSON,AZ,857210032,ORTEGA,DAN,LTC,5206211078
CAL STATE UNIV FULLERTON,W,14,800 N STATE COLLEGE BLVD,,FULLERTON,CA,928346830,HOWARD,WILLIAM,LTC,7142783007
CA POLY ST U SAN LUIS OBISPO,W,14,"1 GRAND AVE, BLDG 34, RM 115",MILITARY SCIENCE DEPT,SAN LUIS OBISPO,CA,934079000,CLARK,RUSSELL,MAJ,8057567682
SAN DIEGO STATE UNIVERSITY,W,14,DEPARTMENT OF MILITARY SCIENCE,5500 CAMPANILE DRIVE,SAN DIEGO,CA,921827245,RIDEOUT,KENT,LTC,6195944943
CLAREMONT MCKENNA COLLEGE,W,14,DEPT OF MIL SCIENCE & LDRSHP,500 E. NINTH STREET,CLAREMONT,CA,917116400,DOUVILLE,JEFFREY,LTC,9096218102
UNIV OF CA - SANTA BARBARA,W,14,DEPARTMENT OF MILITARY SCIENCE,BLDG 451,SANTA BARBARA,CA,931067070,GOMES,CLARENCE,LTC,8058933042
BRIGHAM YOUNG UNIVERSITY,W,14,DEPARTMENT OF MILITARY SCIENCE,320 WELLS ROTC BLDG,PROVO,UT,846028300,GRAWE,REID,LTC,8014223601
UNIVERSITY OF UTAH,W,14,"1452 EAST 100 SOUTH, BLDG 23",,SALT LAKE CITY,UT,841120230,Frederick,Edwin,LTC,8015816716
WEBER STATE UNIVERSITY,W,14,3103 UNIVERSITY CIRCLE,,OGDEN,UT,844083103,ADAMS,JAMES,MAJ,8016266518
CAL STATE UNIV FRESNO,W,14,5305 N  CAMPUS DRIVE MS NG23,,FRESNO,CA,937408020,Manning,Joel,LTC,5592782887
